VTDID,PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,TABMODEL,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,HOSPDIST,PARKDIST,TABSYSTEM,TABMODEL,MAILBALLOT,REG7AM,EDR,SIGNATURES,AB_MB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSIA,USPRSGP,USPRSINDKW,USPRSINDBP,USPRSSLP,USPRSSWP,USPRSLIB,USPRSWI,USPRSTOTAL,USSENLMN,USSENGLC,USSENR,USSENDFL,USSENWI,USSENTOTAL,USREPLMN,USREPGLC,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENLMN,MNSENGLC,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGLMN,MNLEGGLC,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL
270010005,AITKIN,0005,Aitkin,Aitkin,1,ImageCast Evolution,8,10,10B,01,09,3001,no data,no data,no data,,,NO,1246,73,553,545,0,0,1098,626,446,3,2,4,1,0,0,9,0,1091,79,22,545,421,0,1067,0,76,582,396,0,1054,0,0,663,395,0,1058,0,0,690,370,1,1061
270010010,AITKIN TWP,0010,Aitkin Twp,Aitkin,1,ImageCast Central,8,10,10B,01,09,3001,no data,no data,no data,,,YES,607,20,0,577,0,0,577,379,187,1,2,1,0,0,2,3,1,576,27,5,363,171,0,566,0,30,384,150,0,564,0,0,414,152,0,566,0,0,420,148,0,568
270010015,BALL BLUFF TWP,0015,Ball Bluff Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,198,6,0,185,0,0,185,107,75,0,0,0,0,0,0,3,0,185,6,1,95,79,0,181,0,9,104,69,0,182,0,0,106,74,0,180,0,0,106,74,0,180
270010020,BALSAM TWP,0020,Balsam Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,25,0,0,24,0,0,24,12,11,0,0,0,0,1,0,0,0,24,0,0,13,11,0,24,0,0,13,11,0,24,0,0,14,10,0,24,0,0,12,11,0,23
270010025,BEAVER TWP,0025,Beaver Twp,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,45,0,0,38,0,0,38,17,20,0,0,0,0,0,0,0,1,38,0,0,16,20,0,36,0,2,15,19,0,36,0,0,15,21,0,36,0,0,16,20,0,36
270010030,CLARK TWP,0030,Clark Twp,Aitkin,1,ImageCast Evolution,8,10,10B,04,09,3001,no data,no data,no data,,,NO,89,3,57,26,0,0,83,41,40,0,0,0,1,0,0,0,0,82,5,1,38,35,0,79,0,3,43,32,0,78,0,0,42,35,0,77,0,0,43,36,0,79
270010035,CORNISH TWP,0035,Cornish Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,30,2,0,29,0,0,29,12,15,0,0,0,1,0,0,1,0,29,0,0,14,15,0,29,0,0,14,15,0,29,0,0,14,14,0,28,0,0,14,14,0,28
270010038,UNORG 47-24 (DAVIDSON UNORG),0038,Davidson Unorganized,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,32,2,0,31,0,0,31,15,13,0,1,0,2,0,0,0,0,31,1,0,18,12,0,31,0,1,19,11,0,31,0,0,20,11,0,31,0,0,20,11,0,31
270010040,FARM ISLAND TWP,0040,Farm Island Twp,Aitkin,1,ImageCast Evolution,8,10,10B,02,09,3001,no data,no data,no data,,,NO,821,14,413,361,0,0,774,482,285,0,0,1,1,0,0,2,1,772,15,4,463,277,0,759,0,14,480,255,0,749,0,0,497,260,0,757,0,0,524,232,0,756
270010045,FLEMING TWP,0045,Fleming Twp,Aitkin,1,ImageCast Evolution,8,10,10B,04,09,3001,no data,no data,no data,,,NO,258,7,157,78,0,0,235,153,77,1,0,1,0,0,0,2,0,234,4,1,149,75,0,229,0,9,153,67,0,229,0,0,157,72,0,229,0,0,161,68,0,229
270010050,GLEN TWP,0050,Glen Twp,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,361,11,0,337,0,0,337,197,137,0,0,1,0,0,0,0,1,336,8,5,183,132,2,330,0,11,189,126,0,326,0,0,200,125,0,325,0,0,211,116,0,327
270010055,HAUGEN TWP,0055,Haugen Twp,Aitkin,1,ImageCast Central,8,10,10B,04,09,3001,no data,no data,no data,,,YES,111,4,0,105,0,0,105,56,46,0,1,1,0,0,0,1,0,105,5,2,54,44,0,105,0,4,60,40,0,104,0,0,60,43,0,103,0,0,61,41,0,102
270010060,HAZELTON TWP,0060,Hazelton Twp,Aitkin,1,ImageCast Central,8,10,10B,02,09,3001,no data,no data,no data,,,YES,646,28,0,608,0,0,608,382,220,0,1,0,0,0,0,1,1,605,39,11,344,200,0,594,0,35,366,185,0,586,0,0,397,193,1,591,0,0,399,189,0,588
270010065,HILL CITY,0065,Hill City,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,320,24,0,285,0,0,285,175,105,0,1,0,1,0,0,2,0,284,22,4,146,107,0,279,0,19,163,93,0,275,0,0,172,102,0,274,0,0,167,107,0,274
270010070,HILL LAKE TWP,0070,Hill Lake Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,300,7,0,264,0,1,265,167,89,1,1,1,1,0,0,2,1,263,8,1,156,91,1,257,0,5,163,91,0,259,0,0,164,89,0,253,0,0,174,80,0,254
270010075,IDUN TWP,0075,Idun Twp,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,137,9,0,128,0,0,128,90,35,0,0,0,1,0,0,0,1,127,4,0,82,40,0,126,0,3,90,33,0,126,0,0,88,37,0,125,0,0,87,36,0,123
270010080,JEVNE TWP,0080,Jevne Twp,Aitkin,1,ImageCast Evolution,8,10,10B,04,09,3001,no data,no data,no data,,,NO,231,11,154,65,0,0,219,152,64,0,0,0,0,0,0,2,0,218,3,5,134,66,0,208,0,6,145,56,0,207,0,0,150,57,0,207,0,0,144,64,0,208
270010082,UNORG 45-24 (JEWETT UNORG),0082,Jewett Unorganized,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,28,0,0,27,0,0,27,18,9,0,0,0,0,0,0,0,0,27,2,0,13,9,0,24,0,1,14,6,1,22,0,0,16,8,0,24,0,0,17,7,0,24
270010085,KIMBERLY TWP,0085,Kimberly Twp,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,127,4,0,123,0,0,123,78,42,0,1,1,0,0,0,0,0,122,3,2,73,43,0,121,0,4,74,41,0,119,0,0,81,36,0,117,0,0,84,35,0,119
270010090,LAKESIDE TWP,0090,Lakeside Twp,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,368,13,0,343,0,0,343,217,124,0,1,0,0,0,0,0,0,342,20,4,201,111,0,336,0,19,214,102,0,335,0,0,219,113,1,333,0,0,214,115,0,329
270010095,LEE TWP,0095,Lee Twp,Aitkin,1,ImageCast Evolution,8,10,10B,03,09,3001,no data,no data,no data,,,NO,35,3,28,9,0,0,37,34,2,0,0,0,0,0,0,0,0,36,4,0,28,3,0,35,0,0,33,1,0,34,0,0,29,4,0,33,0,0,33,2,0,35
270010100,LIBBY TWP E,0100,Libby Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,18,1,0,17,0,0,17,12,5,0,0,0,0,0,0,0,0,17,0,0,12,5,0,17,0,0,11,6,0,17,0,0,12,5,0,17,0,0,11,6,0,17
270010105,LIBBY TWP W,0105,Libby Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,21,0,0,21,0,0,21,9,12,0,0,0,0,0,0,0,0,21,0,0,10,10,0,20,0,1,10,9,0,20,0,0,14,7,0,21,0,0,11,10,0,21
270010110,LOGAN TWP,0110,Logan Twp,Aitkin,1,ImageCast Central,8,10,10B,05,09,3001,no data,no data,no data,,,YES,145,1,0,128,0,0,128,80,45,0,2,0,1,0,0,0,0,128,5,3,74,45,0,127,0,6,71,43,0,120,0,0,82,44,0,126,0,0,85,42,0,127
270010115,MCGRATH,0115,Mcgrath,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,31,0,0,28,0,0,28,23,4,0,0,0,0,0,0,0,0,27,2,0,21,5,0,28,0,0,23,5,0,28,0,0,23,5,0,28,0,0,25,3,0,28
270010120,MCGREGOR,0120,Mcgregor,Aitkin,1,ImageCast Central,8,10,10B,04,09,3001,no data,no data,no data,,,YES,185,15,0,144,0,0,144,80,53,0,2,1,2,0,0,3,0,141,8,5,65,59,0,137,0,10,78,50,0,138,0,0,84,49,0,133,0,0,83,54,0,137
270010125,MCGREGOR TWP,0125,Mcgregor Twp,Aitkin,1,ImageCast Evolution,8,10,10B,04,09,3001,no data,no data,no data,,,NO,57,4,38,19,0,0,57,43,14,0,0,0,0,0,0,0,0,57,3,1,38,13,0,55,0,2,41,12,0,55,0,0,42,12,0,54,0,0,39,17,0,56
270010130,MACVILLE TWP,0130,Macville Twp,Aitkin,1,ImageCast Evolution,8,10,10B,05,09,3001,no data,no data,no data,,,NO,103,10,69,29,0,0,98,61,32,0,0,1,0,0,1,2,0,97,6,5,53,31,0,95,0,6,61,26,0,93,0,0,60,34,0,94,0,0,61,30,0,91
270010132,MILLWARD TWP,0132,Millward Twp,Aitkin,1,ImageCast Central,8,10,10B,03,09,3001,no data,no data,no data,,,YES,36,2,0,36,0,0,36,17,17,0,0,1,0,0,0,1,0,36,3,0,17,16,0,36,0,3,18,15,0,36,0,0,19,16,0,35,0,0,19,17,0,36
270010135,MALMO TWP,0135,Malmo Twp,Aitkin,1,ImageCast Evolution,8,10,10B,02,09,3001,no data,no data,no data,,,NO,264,1,171,86,0,0,257,166,83,2,0,1,0,0,0,4,0,256,15,6,152,72,0,245,0,11,164,67,1,243,0,0,163,78,1,242,0,0,175,71,0,246
270010140,MORRISON TWP,0140,Morrison Twp,Aitkin,1,ImageCast Central,8,10,10B,04,09,3001,no data,no data,no data,,,YES,103,0,0,95,0,0,95,63,31,1,0,0,0,0,0,0,0,95,7,0,53,31,0,91,0,6,54,33,0,93,0,0,64,28,0,92,0,0,64,30,0,94
270010145,NORDLAND TWP,0145,Nordland Twp,Aitkin,1,ImageCast Central,8,10,10B,02,09,3001,no data,no data,no data,,,YES,776,14,0,727,0,0,727,460,255,1,1,0,2,0,0,0,1,720,28,8,428,255,0,719,0,26,438,244,0,708,0,0,475,236,0,711,0,0,499,216,0,715
